route_id,stop_name,arrival_time,departure_time
FR-01,NUST Metro Station,11:00:00,11:00:00
FR-01,Police Foundation Metro Station,11:01:50,11:02:10
FR-01,Npa Stop,11:04:40,11:05:00
FR-01,Islamic University,11:07:20,11:07:40
FR-01,FAST University,11:10:20,11:10:40
FR-01,Paec General Hospital,11:13:00,11:13:20
FR-01,Imc Hospital,11:15:05,11:15:25
FR-01,Metro Cnc,11:17:45,11:18:05
FR-01,Sabzi Mandi,11:19:25,11:19:45
FR-01,Mandi Morh,11:22:15,11:22:35
FR-01,Kurang Road Stop,11:24:00,11:24:20
FR-01,Iesco,11:26:00,11:26:20
FR-01,Ptcl I-10,11:27:50,11:28:10
FR-01,Sui Gas Stop,11:29:35,11:29:55
FR-01,Ogti Stop,11:35:25,11:35:45
FR-01,Cda Complain Center,11:39:35,11:39:55
FR-01,Mci Model School,11:45:00,11:45:00
FR-01,NUST Metro Station,12:00:00,12:00:00
FR-01,Police Foundation Metro Station,12:01:50,12:02:10
FR-01,Npa Stop,12:04:40,12:05:00
FR-01,Islamic University,12:07:20,12:07:40
FR-01,FAST University,12:10:20,12:10:40
FR-01,Paec General Hospital,12:13:00,12:13:20
FR-01,Imc Hospital,12:15:05,12:15:25
FR-01,Metro Cnc,12:17:45,12:18:05
FR-01,Sabzi Mandi,12:19:25,12:19:45
FR-01,Mandi Morh,12:22:15,12:22:35
FR-01,Kurang Road Stop,12:24:00,12:24:20
FR-01,Iesco,12:26:00,12:26:20
FR-01,Ptcl I-10,12:27:50,12:28:10
FR-01,Sui Gas Stop,12:29:35,12:29:55
FR-01,Ogti Stop,12:35:25,12:35:45
FR-01,Cda Complain Center,12:39:35,12:39:55
FR-01,Mci Model School,12:45:00,12:45:00
FR-01,NUST Metro Station,13:00:00,13:00:00
FR-01,Police Foundation Metro Station,13:01:50,13:02:10
FR-01,Npa Stop,13:04:40,13:05:00
FR-01,Islamic University,13:07:20,13:07:40
FR-01,FAST University,13:10:20,13:10:40
FR-01,Paec General Hospital,13:13:00,13:13:20
FR-01,Imc Hospital,13:15:05,13:15:25
FR-01,Metro Cnc,13:17:45,13:18:05
FR-01,Sabzi Mandi,13:19:25,13:19:45
FR-01,Mandi Morh,13:22:15,13:22:35
FR-01,Kurang Road Stop,13:24:00,13:24:20
FR-01,Iesco,13:26:00,13:26:20
FR-01,Ptcl I-10,13:27:50,13:28:10
FR-01,Sui Gas Stop,13:29:35,13:29:55
FR-01,Ogti Stop,13:35:25,13:35:45
FR-01,Cda Complain Center,13:39:35,13:39:55
FR-01,Mci Model School,13:45:00,13:45:00
FR-01,NUST Metro Station,14:00:00,14:00:00
FR-01,Police Foundation Metro Station,14:01:50,14:02:10
FR-01,Npa Stop,14:04:40,14:05:00
FR-01,Islamic University,14:07:20,14:07:40
FR-01,FAST University,14:10:20,14:10:40
FR-01,Paec General Hospital,14:13:00,14:13:20
FR-01,Imc Hospital,14:15:05,14:15:25
FR-01,Metro Cnc,14:17:45,14:18:05
FR-01,Sabzi Mandi,14:19:25,14:19:45
FR-01,Mandi Morh,14:22:15,14:22:35
FR-01,Kurang Road Stop,14:24:00,14:24:20
FR-01,Iesco,14:26:00,14:26:20
FR-01,Ptcl I-10,14:27:50,14:28:10
FR-01,Sui Gas Stop,14:29:35,14:29:55
FR-01,Ogti Stop,14:35:25,14:35:45
FR-01,Cda Complain Center,14:39:35,14:39:55
FR-01,Mci Model School,14:45:00,14:45:00
FR-01,NUST Metro Station,15:00:00,15:00:00
FR-01,Police Foundation Metro Station,15:01:50,15:02:10
FR-01,Npa Stop,15:04:40,15:05:00
FR-01,Islamic University,15:07:20,15:07:40
FR-01,FAST University,15:10:20,15:10:40
FR-01,Paec General Hospital,15:13:00,15:13:20
FR-01,Imc Hospital,15:15:05,15:15:25
FR-01,Metro Cnc,15:17:45,15:18:05
FR-01,Sabzi Mandi,15:19:25,15:19:45
FR-01,Mandi Morh,15:22:15,15:22:35
FR-01,Kurang Road Stop,15:24:00,15:24:20
FR-01,Iesco,15:26:00,15:26:20
FR-01,Ptcl I-10,15:27:50,15:28:10
FR-01,Sui Gas Stop,15:29:35,15:29:55
FR-01,Ogti Stop,15:35:25,15:35:45
FR-01,Cda Complain Center,15:39:35,15:39:55
FR-01,Mci Model School,15:45:00,15:45:00
FR-01,NUST Metro Station,16:00:00,16:00:00
FR-01,Police Foundation Metro Station,16:01:50,16:02:10
FR-01,Npa Stop,16:04:40,16:05:00
FR-01,Islamic University,16:07:20,16:07:40
FR-01,FAST University,16:10:20,16:10:40
FR-01,Paec General Hospital,16:13:00,16:13:20
FR-01,Imc Hospital,16:15:05,16:15:25
FR-01,Metro Cnc,16:17:45,16:18:05
FR-01,Sabzi Mandi,16:19:25,16:19:45
FR-01,Mandi Morh,16:22:15,16:22:35
FR-01,Kurang Road Stop,16:24:00,16:24:20
FR-01,Iesco,16:26:00,16:26:20
FR-01,Ptcl I-10,16:27:50,16:28:10
FR-01,Sui Gas Stop,16:29:35,16:29:55
FR-01,Ogti Stop,16:35:25,16:35:45
FR-01,Cda Complain Center,16:39:35,16:39:55
FR-01,Mci Model School,16:45:00,16:45:00
FR-01,NUST Metro Station,17:00:00,17:00:00
FR-01,Police Foundation Metro Station,17:01:50,17:02:10
FR-01,Npa Stop,17:04:40,17:05:00
FR-01,Islamic University,17:07:20,17:07:40
FR-01,FAST University,17:10:20,17:10:40
FR-01,Paec General Hospital,17:13:00,17:13:20
FR-01,Imc Hospital,17:15:05,17:15:25
FR-01,Metro Cnc,17:17:45,17:18:05
FR-01,Sabzi Mandi,17:19:25,17:19:45
FR-01,Mandi Morh,17:22:15,17:22:35
FR-01,Kurang Road Stop,17:24:00,17:24:20
FR-01,Iesco,17:26:00,17:26:20
FR-01,Ptcl I-10,17:27:50,17:28:10
FR-01,Sui Gas Stop,17:29:35,17:29:55
FR-01,Ogti Stop,17:35:25,17:35:45
FR-01,Cda Complain Center,17:39:35,17:39:55
FR-01,Mci Model School,17:45:00,17:45:00
FR-01,NUST Metro Station,18:00:00,18:00:00
FR-01,Police Foundation Metro Station,18:01:50,18:02:10
FR-01,Npa Stop,18:04:40,18:05:00
FR-01,Islamic University,18:07:20,18:07:40
FR-01,FAST University,18:10:20,18:10:40
FR-01,Paec General Hospital,18:13:00,18:13:20
FR-01,Imc Hospital,18:15:05,18:15:25
FR-01,Metro Cnc,18:17:45,18:18:05
FR-01,Sabzi Mandi,18:19:25,18:19:45
FR-01,Mandi Morh,18:22:15,18:22:35
FR-01,Kurang Road Stop,18:24:00,18:24:20
FR-01,Iesco,18:26:00,18:26:20
FR-01,Ptcl I-10,18:27:50,18:28:10
FR-01,Sui Gas Stop,18:29:35,18:29:55
FR-01,Ogti Stop,18:35:25,18:35:45
FR-01,Cda Complain Center,18:39:35,18:39:55
FR-01,Mci Model School,18:45:00,18:45:00
FR-01,NUST Metro Station,19:00:00,19:00:00
FR-01,Police Foundation Metro Station,19:01:50,19:02:10
FR-01,Npa Stop,19:04:40,19:05:00
FR-01,Islamic University,19:07:20,19:07:40
FR-01,FAST University,19:10:20,19:10:40
FR-01,Paec General Hospital,19:13:00,19:13:20
FR-01,Imc Hospital,19:15:05,19:15:25
FR-01,Metro Cnc,19:17:45,19:18:05
FR-01,Sabzi Mandi,19:19:25,19:19:45
FR-01,Mandi Morh,19:22:15,19:22:35
FR-01,Kurang Road Stop,19:24:00,19:24:20
FR-01,Iesco,19:26:00,19:26:20
FR-01,Ptcl I-10,19:27:50,19:28:10
FR-01,Sui Gas Stop,19:29:35,19:29:55
FR-01,Ogti Stop,19:35:25,19:35:45
FR-01,Cda Complain Center,19:39:35,19:39:55
FR-01,Mci Model School,19:45:00,19:45:00
FR-01,NUST Metro Station,20:00:00,20:00:00
FR-01,Police Foundation Metro Station,20:01:50,20:02:10
FR-01,Npa Stop,20:04:40,20:05:00
FR-01,Islamic University,20:07:20,20:07:40
FR-01,FAST University,20:10:20,20:10:40
FR-01,Paec General Hospital,20:13:00,20:13:20
FR-01,Imc Hospital,20:15:05,20:15:25
FR-01,Metro Cnc,20:17:45,20:18:05
FR-01,Sabzi Mandi,20:19:25,20:19:45
FR-01,Mandi Morh,20:22:15,20:22:35
FR-01,Kurang Road Stop,20:24:00,20:24:20
FR-01,Iesco,20:26:00,20:26:20
FR-01,Ptcl I-10,20:27:50,20:28:10
FR-01,Sui Gas Stop,20:29:35,20:29:55
FR-01,Ogti Stop,20:35:25,20:35:45
FR-01,Cda Complain Center,20:39:35,20:39:55
FR-01,Mci Model School,20:45:00,20:45:00
FR-01,NUST Metro Station,21:00:00,21:00:00
FR-01,Police Foundation Metro Station,21:01:50,21:02:10
FR-01,Npa Stop,21:04:40,21:05:00
FR-01,Islamic University,21:07:20,21:07:40
FR-01,FAST University,21:10:20,21:10:40
FR-01,Paec General Hospital,21:13:00,21:13:20
FR-01,Imc Hospital,21:15:05,21:15:25
FR-01,Metro Cnc,21:17:45,21:18:05
FR-01,Sabzi Mandi,21:19:25,21:19:45
FR-01,Mandi Morh,21:22:15,21:22:35
FR-01,Kurang Road Stop,21:24:00,21:24:20
FR-01,Iesco,21:26:00,21:26:20
FR-01,Ptcl I-10,21:27:50,21:28:10
FR-01,Sui Gas Stop,21:29:35,21:29:55
FR-01,Ogti Stop,21:35:25,21:35:45
FR-01,Cda Complain Center,21:39:35,21:39:55
FR-01,Mci Model School,21:45:00,21:45:00
FR-01,NUST Metro Station,22:00:00,22:00:00
FR-01,Police Foundation Metro Station,22:01:50,22:02:10
FR-01,Npa Stop,22:04:40,22:05:00
FR-01,Islamic University,22:07:20,22:07:40
FR-01,FAST University,22:10:20,22:10:40
FR-01,Paec General Hospital,22:13:00,22:13:20
FR-01,Imc Hospital,22:15:05,22:15:25
FR-01,Metro Cnc,22:17:45,22:18:05
FR-01,Sabzi Mandi,22:19:25,22:19:45
FR-01,Mandi Morh,22:22:15,22:22:35
FR-01,Kurang Road Stop,22:24:00,22:24:20
FR-01,Iesco,22:26:00,22:26:20
FR-01,Ptcl I-10,22:27:50,22:28:10
FR-01,Sui Gas Stop,22:29:35,22:29:55
FR-01,Ogti Stop,22:35:25,22:35:45
FR-01,Cda Complain Center,22:39:35,22:39:55
FR-01,Mci Model School,22:45:00,22:45:00
FR-07,Pims Hospital,06:00:00,06:00:00
FR-07,Children Hospital,06:01:00,06:01:20
FR-07,Nori Hospital,06:03:59,06:04:19
FR-07,Dental Hospital,06:06:19,06:06:39
FR-07,G-8 Markaz,06:06:49,06:06:59
FR-07,Development Park,06:07:19,06:07:39
FR-07,Chaman Metro Station,06:09:28,06:09:48
FR-07,G-9/4,06:11:24,06:11:44
FR-07,Karachi Company,06:13:24,06:13:44
FR-07,G-9 Markaz,06:14:34,06:14:54
FR-07,Police Flats,06:16:29,06:16:49
FR-07,College Morh,06:19:19,06:19:39
FR-07,G-10 Markaz,06:22:09,06:22:29
FR-07,Pha Flats,06:24:59,06:25:19
FR-07,Tanki Stop,06:26:09,06:26:29
FR-07,G-10/G-11,06:27:19,06:27:39
FR-07,Institute Of Modern Studies,06:28:34,06:28:54
FR-07,G-11 Markaz,06:30:24,06:30:44
FR-07,Mehrabad,06:34:26,06:34:46
FR-07,NUST Metro Station,06:40:10,06:40:30
FR-07,Bar Council,06:42:40,06:43:00
FR-07,A.K Bari Road,06:43:50,06:44:10
FR-07,Police Foundation Metro Station,06:47:20,06:47:20
FR-07,Pims Hospital,06:10:00,06:10:00
FR-07,Children Hospital,06:11:00,06:11:20
FR-07,Nori Hospital,06:13:59,06:14:19
FR-07,Dental Hospital,06:16:19,06:16:39
FR-07,G-8 Markaz,06:16:49,06:16:59
FR-07,Development Park,06:17:19,06:17:39
FR-07,Chaman Metro Station,06:19:28,06:19:48
FR-07,G-9/4,06:21:24,06:21:44
FR-07,Karachi Company,06:23:24,06:23:44
FR-07,G-9 Markaz,06:24:34,06:24:54
FR-07,Police Flats,06:26:29,06:26:49
FR-07,College Morh,06:29:19,06:29:39
FR-07,G-10 Markaz,06:32:09,06:32:29
FR-07,Pha Flats,06:34:59,06:35:19
FR-07,Tanki Stop,06:36:09,06:36:29
FR-07,G-10/G-11,06:37:19,06:37:39
FR-07,Institute Of Modern Studies,06:38:34,06:38:54
FR-07,G-11 Markaz,06:40:24,06:40:44
FR-07,Mehrabad,06:44:26,06:44:46
FR-07,NUST Metro Station,06:50:10,06:50:30
FR-07,Bar Council,06:52:40,06:53:00
FR-07,A.K Bari Road,06:53:50,06:54:10
FR-07,Police Foundation Metro Station,06:57:20,06:57:20
FR-07,Pims Hospital,06:20:00,06:20:00
FR-07,Children Hospital,06:21:00,06:21:20
FR-07,Nori Hospital,06:23:59,06:24:19
FR-07,Dental Hospital,06:26:19,06:26:39
FR-07,G-8 Markaz,06:26:49,06:26:59
FR-07,Development Park,06:27:19,06:27:39
FR-07,Chaman Metro Station,06:29:28,06:29:48
FR-07,G-9/4,06:31:24,06:31:44
FR-07,Karachi Company,06:33:24,06:33:44
FR-07,G-9 Markaz,06:34:34,06:34:54
FR-07,Police Flats,06:36:29,06:36:49
FR-07,College Morh,06:39:19,06:39:39
FR-07,G-10 Markaz,06:42:09,06:42:29
FR-07,Pha Flats,06:44:59,06:45:19
FR-07,Tanki Stop,06:46:09,06:46:29
FR-07,G-10/G-11,06:47:19,06:47:39
FR-07,Institute Of Modern Studies,06:48:34,06:48:54
FR-07,G-11 Markaz,06:50:24,06:50:44
FR-07,Mehrabad,06:54:26,06:54:46
FR-07,NUST Metro Station,07:00:10,07:00:30
FR-07,Bar Council,07:02:40,07:03:00
FR-07,A.K Bari Road,07:03:50,07:04:10
FR-07,Police Foundation Metro Station,07:07:20,07:07:20
FR-07,Pims Hospital,06:30:00,06:30:00
FR-07,Children Hospital,06:31:00,06:31:20
FR-07,Nori Hospital,06:33:59,06:34:19
FR-07,Dental Hospital,06:36:19,06:36:39
FR-07,G-8 Markaz,06:36:49,06:36:59
FR-07,Development Park,06:37:19,06:37:39
FR-07,Chaman Metro Station,06:39:28,06:39:48
FR-07,G-9/4,06:41:24,06:41:44
FR-07,Karachi Company,06:43:24,06:43:44
FR-07,G-9 Markaz,06:44:34,06:44:54
FR-07,Police Flats,06:46:29,06:46:49
FR-07,College Morh,06:49:19,06:49:39
FR-07,G-10 Markaz,06:52:09,06:52:29
FR-07,Pha Flats,06:54:59,06:55:19
FR-07,Tanki Stop,06:56:09,06:56:29
FR-07,G-10/G-11,06:57:19,06:57:39
FR-07,Institute Of Modern Studies,06:58:34,06:58:54
FR-07,G-11 Markaz,07:00:24,07:00:44
FR-07,Mehrabad,07:04:26,07:04:46
FR-07,NUST Metro Station,07:10:10,07:10:30
FR-07,Bar Council,07:12:40,07:13:00
FR-07,A.K Bari Road,07:13:50,07:14:10
FR-07,Police Foundation Metro Station,07:17:20,07:17:20
FR-07,Pims Hospital,06:40:00,06:40:00
FR-07,Children Hospital,06:41:00,06:41:20
FR-07,Nori Hospital,06:43:59,06:44:19
FR-07,Dental Hospital,06:46:19,06:46:39
FR-07,G-8 Markaz,06:46:49,06:46:59
FR-07,Development Park,06:47:19,06:47:39
FR-07,Chaman Metro Station,06:49:28,06:49:48
FR-07,G-9/4,06:51:24,06:51:44
FR-07,Karachi Company,06:53:24,06:53:44
FR-07,G-9 Markaz,06:54:34,06:54:54
FR-07,Police Flats,06:56:29,06:56:49
FR-07,College Morh,06:59:19,06:59:39
FR-07,G-10 Markaz,07:02:09,07:02:29
FR-07,Pha Flats,07:04:59,07:05:19
FR-07,Tanki Stop,07:06:09,07:06:29
FR-07,G-10/G-11,07:07:19,07:07:39
FR-07,Institute Of Modern Studies,07:08:34,07:08:54
FR-07,G-11 Markaz,07:10:24,07:10:44
FR-07,Mehrabad,07:14:26,07:14:46
FR-07,NUST Metro Station,07:20:10,07:20:30
FR-07,Bar Council,07:22:40,07:23:00
FR-07,A.K Bari Road,07:23:50,07:24:10
FR-07,Police Foundation Metro Station,07:27:20,07:27:20
FR-07,Pims Hospital,06:50:00,06:50:00
FR-07,Children Hospital,06:51:00,06:51:20
FR-07,Nori Hospital,06:53:59,06:54:19
FR-07,Dental Hospital,06:56:19,06:56:39
FR-07,G-8 Markaz,06:56:49,06:56:59
FR-07,Development Park,06:57:19,06:57:39
FR-07,Chaman Metro Station,06:59:28,06:59:48
FR-07,G-9/4,07:01:24,07:01:44
FR-07,Karachi Company,07:03:24,07:03:44
FR-07,G-9 Markaz,07:04:34,07:04:54
FR-07,Police Flats,07:06:29,07:06:49
FR-07,College Morh,07:09:19,07:09:39
FR-07,G-10 Markaz,07:12:09,07:12:29
FR-07,Pha Flats,07:14:59,07:15:19
FR-07,Tanki Stop,07:16:09,07:16:29
FR-07,G-10/G-11,07:17:19,07:17:39
FR-07,Institute Of Modern Studies,07:18:34,07:18:54
FR-07,G-11 Markaz,07:20:24,07:20:44
FR-07,Mehrabad,07:24:26,07:24:46
FR-07,NUST Metro Station,07:30:10,07:30:30
FR-07,Bar Council,07:32:40,07:33:00
FR-07,A.K Bari Road,07:33:50,07:34:10
FR-07,Police Foundation Metro Station,07:37:20,07:37:20
FR-07,Pims Hospital,07:00:00,07:00:00
FR-07,Children Hospital,07:01:00,07:01:20
FR-07,Nori Hospital,07:03:59,07:04:19
FR-07,Dental Hospital,07:06:19,07:06:39
FR-07,G-8 Markaz,07:06:49,07:06:59
FR-07,Development Park,07:07:19,07:07:39
FR-07,Chaman Metro Station,07:09:28,07:09:48
FR-07,G-9/4,07:11:24,07:11:44
FR-07,Karachi Company,07:13:24,07:13:44
FR-07,G-9 Markaz,07:14:34,07:14:54
FR-07,Police Flats,07:16:29,07:16:49
FR-07,College Morh,07:19:19,07:19:39
FR-07,G-10 Markaz,07:22:09,07:22:29
FR-07,Pha Flats,07:24:59,07:25:19
FR-07,Tanki Stop,07:26:09,07:26:29
FR-07,G-10/G-11,07:27:19,07:27:39
FR-07,Institute Of Modern Studies,07:28:34,07:28:54
FR-07,G-11 Markaz,07:30:24,07:30:44
FR-07,Mehrabad,07:34:26,07:34:46
FR-07,NUST Metro Station,07:40:10,07:40:30
FR-07,Bar Council,07:42:40,07:43:00
FR-07,A.K Bari Road,07:43:50,07:44:10
FR-07,Police Foundation Metro Station,07:47:20,07:47:20
FR-07,Pims Hospital,07:10:00,07:10:00
FR-07,Children Hospital,07:11:00,07:11:20
FR-07,Nori Hospital,07:13:59,07:14:19
FR-07,Dental Hospital,07:16:19,07:16:39
FR-07,G-8 Markaz,07:16:49,07:16:59
FR-07,Development Park,07:17:19,07:17:39
FR-07,Chaman Metro Station,07:19:28,07:19:48
FR-07,G-9/4,07:21:24,07:21:44
FR-07,Karachi Company,07:23:24,07:23:44
FR-07,G-9 Markaz,07:24:34,07:24:54
FR-07,Police Flats,07:26:29,07:26:49
FR-07,College Morh,07:29:19,07:29:39
FR-07,G-10 Markaz,07:32:09,07:32:29
FR-07,Pha Flats,07:34:59,07:35:19
FR-07,Tanki Stop,07:36:09,07:36:29
FR-07,G-10/G-11,07:37:19,07:37:39
FR-07,Institute Of Modern Studies,07:38:34,07:38:54
FR-07,G-11 Markaz,07:40:24,07:40:44
FR-07,Mehrabad,07:44:26,07:44:46
FR-07,NUST Metro Station,07:50:10,07:50:30
FR-07,Bar Council,07:52:40,07:53:00
FR-07,A.K Bari Road,07:53:50,07:54:10
FR-07,Police Foundation Metro Station,07:57:20,07:57:20
FR-07,Pims Hospital,07:20:00,07:20:00
FR-07,Children Hospital,07:21:00,07:21:20
FR-07,Nori Hospital,07:23:59,07:24:19
FR-07,Dental Hospital,07:26:19,07:26:39
FR-07,G-8 Markaz,07:26:49,07:26:59
FR-07,Development Park,07:27:19,07:27:39
FR-07,Chaman Metro Station,07:29:28,07:29:48
FR-07,G-9/4,07:31:24,07:31:44
FR-07,Karachi Company,07:33:24,07:33:44
FR-07,G-9 Markaz,07:34:34,07:34:54
FR-07,Police Flats,07:36:29,07:36:49
FR-07,College Morh,07:39:19,07:39:39
FR-07,G-10 Markaz,07:42:09,07:42:29
FR-07,Pha Flats,07:44:59,07:45:19
FR-07,Tanki Stop,07:46:09,07:46:29
FR-07,G-10/G-11,07:47:19,07:47:39
FR-07,Institute Of Modern Studies,07:48:34,07:48:54
FR-07,G-11 Markaz,07:50:24,07:50:44
FR-07,Mehrabad,07:54:26,07:54:46
FR-07,NUST Metro Station,08:00:10,08:00:30
FR-07,Bar Council,08:02:40,08:03:00
FR-07,A.K Bari Road,08:03:50,08:04:10
FR-07,Police Foundation Metro Station,08:07:20,08:07:20
FR-07,Pims Hospital,07:30:00,07:30:00
FR-07,Children Hospital,07:31:00,07:31:20
FR-07,Nori Hospital,07:33:59,07:34:19
FR-07,Dental Hospital,07:36:19,07:36:39
FR-07,G-8 Markaz,07:36:49,07:36:59
FR-07,Development Park,07:37:19,07:37:39
FR-07,Chaman Metro Station,07:39:28,07:39:48
FR-07,G-9/4,07:41:24,07:41:44
FR-07,Karachi Company,07:43:24,07:43:44
FR-07,G-9 Markaz,07:44:34,07:44:54
FR-07,Police Flats,07:46:29,07:46:49
FR-07,College Morh,07:49:19,07:49:39
FR-07,G-10 Markaz,07:52:09,07:52:29
FR-07,Pha Flats,07:54:59,07:55:19
FR-07,Tanki Stop,07:56:09,07:56:29
FR-07,G-10/G-11,07:57:19,07:57:39
FR-07,Institute Of Modern Studies,07:58:34,07:58:54
FR-07,G-11 Markaz,08:00:24,08:00:44
FR-07,Mehrabad,08:04:26,08:04:46
FR-07,NUST Metro Station,08:10:10,08:10:30
FR-07,Bar Council,08:12:40,08:13:00
FR-07,A.K Bari Road,08:13:50,08:14:10
FR-07,Police Foundation Metro Station,08:17:20,08:17:20
FR-07,Pims Hospital,07:40:00,07:40:00
FR-07,Children Hospital,07:41:00,07:41:20
FR-07,Nori Hospital,07:43:59,07:44:19
FR-07,Dental Hospital,07:46:19,07:46:39
FR-07,G-8 Markaz,07:46:49,07:46:59
FR-07,Development Park,07:47:19,07:47:39
FR-07,Chaman Metro Station,07:49:28,07:49:48
FR-07,G-9/4,07:51:24,07:51:44
FR-07,Karachi Company,07:53:24,07:53:44
FR-07,G-9 Markaz,07:54:34,07:54:54
FR-07,Police Flats,07:56:29,07:56:49
FR-07,College Morh,07:59:19,07:59:39
FR-07,G-10 Markaz,08:02:09,08:02:29
FR-07,Pha Flats,08:04:59,08:05:19
FR-07,Tanki Stop,08:06:09,08:06:29
FR-07,G-10/G-11,08:07:19,08:07:39
FR-07,Institute Of Modern Studies,08:08:34,08:08:54
FR-07,G-11 Markaz,08:10:24,08:10:44
FR-07,Mehrabad,08:14:26,08:14:46
FR-07,NUST Metro Station,08:20:10,08:20:30
FR-07,Bar Council,08:22:40,08:23:00
FR-07,A.K Bari Road,08:23:50,08:24:10
FR-07,Police Foundation Metro Station,08:27:20,08:27:20
FR-07,Pims Hospital,07:50:00,07:50:00
FR-07,Children Hospital,07:51:00,07:51:20
FR-07,Nori Hospital,07:53:59,07:54:19
FR-07,Dental Hospital,07:56:19,07:56:39
FR-07,G-8 Markaz,07:56:49,07:56:59
FR-07,Development Park,07:57:19,07:57:39
FR-07,Chaman Metro Station,07:59:28,07:59:48
FR-07,G-9/4,08:01:24,08:01:44
FR-07,Karachi Company,08:03:24,08:03:44
FR-07,G-9 Markaz,08:04:34,08:04:54
FR-07,Police Flats,08:06:29,08:06:49
FR-07,College Morh,08:09:19,08:09:39
FR-07,G-10 Markaz,08:12:09,08:12:29
FR-07,Pha Flats,08:14:59,08:15:19
